ItemNo,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,A1Cont,A2Cont
101,practice,NA,A: Yunus çok maharetli gerçekten! Öyle güzel yemekler yapıyor ki parmaklarını yersin.,B: Bana bir kuzu tandır sözü var zaten. En kısa zamanda bir yemek organize edeceğiz.,A: Yunus'a bak sen! Demek kuzu tandır yapacak.,Yunus arkadaşına fırında makarna yapma sözü vermiş.,Evet,Hayır,"<p style=""color:Crimson;""><b>Daha dikkatli okumalısın!</b></p>","<p style=""color:DarkGreen;""><b>Bu diyalogu anladın, bravo!</b></p>"
102,practice,NA,A: Atakan profesyonel futbolcu olmuş! Çok gururlandım doğrusu.,B: Çok başarılı bir futbolcu oldu gerçekten. Avrupa Ligi'nden birkaç takım onu transfer etmek için yarışıyor.,A: Bizim Atakan Avrupa yolcusu desene sen!,Atakan'ı transfer etmek isteyen herhangi bir takım yok.,Evet,Hayır,"<p style=""color:Crimson;""><b>Daha dikkatli okumalısın!</b></p>","<p style=""color:DarkGreen;""><b>Bu diyalogu anladın, bravo!</b></p>"
103,practice,NA,A: Çiçek öyle bir şiir okudu ki hepimizi hüngür hüngür ağlattı. Ne kadar yetenekli bir çocuk!,B: Öyle gerçekten. Haftaya da Shakespeare'in sonelerinden birini okumayı planlıyor.,A: Demek Çiçek repertuarına Shakespeare de ekledi!,Çiçek Shakespeare'in sonelerini okumak istiyor.,Evet,Hayır,"<p style=""color:DarkGreen;""><b>Bu diyalogu anladın, bravo!</b></p>","<p style=""color:Crimson;""><b>Daha dikkatli okumalısın!</b></p>"
104,practice,NA,A: Mahide portre çizmek istediği için çeşit çeşit boya almış. Bir sürü de tuval dizmiş atölyesine.,B: Çok heyecanlı bu konuda. Kimin portresini çizeceğini de seçmiş: Bir muhtar!,A: Demek Mahide muhtarlarla muhattap olmayı seviyor.,Mahide bir muhtarın portresini çizecek.,Evet,Hayır,"<p style=""color:DarkGreen;""><b>Bu diyalogu anladın, bravo!</b></p>","<p style=""color:Crimson;""><b>Daha dikkatli okumalısın!</b></p>"
105,practice,NA,"A: Bizim kedi mutfakta gezinip duruyor. Sürekli de miyavlıyor, derdi ne anlamadım.",B: Yulaf'ın derdi ne olacak? Tabii ki senden kavrulmuş tavuk istiyor!,A: Ciddi misin? Yulaf kavrulmuş tavuk yemeyi seviyor demek.,Yulaf kavrulmuş balık yemek istediği için mutfakta.,Evet,Hayır,"<p style=""color:Crimson;""><b>Daha dikkatli okumalısın!</b></p>","<p style=""color:DarkGreen;""><b>Bu diyalogu anladın, bravo!</b></p>"
