ItemNo,Type,Condition,Dialogue1,Dialogue2,Ambg,Question,Answer1,Answer2,is Evet
1,item,baseline,"A: Duydun mu, Ceyda'nın dairesi boşalıyor!","B: Biliyorum, harika haber değil mi? Ceyda yurtdışına taşınmak istiyormuş, hatta gönlünde Avrupa ülkeleri varmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda Türkiye'de yaşamaya devam etmek istiyor.,Evet,Hayır,0
1,item,wr,"A: Ceyda macera arıyor, Türkiye'den başka bir ülkede yaşamaya karar vermiş. Taşınmak istiyormuş.","B: Evet evet, hatta gözüne İspanya'yı kestirmiş yerleşmek için.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir Avrupa ülkesinde yaşamak istiyor.,Evet,Hayır,0
1,item,nr,"A: Ceyda bir liste yapmış, bir sürü ülke yazmış. Oralarda iş bakıyormuş, taşınmak istiyormuş.","B: Haberim var, listeyi de gördüm hatta. Sadece Avrupa ülkeleri yazmış.",A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda herhangi bir ülkeye yerleşmek istiyor.,Evet,Hayır,0
1,item,d,"A: Duydun mu, Ceyda Türkiye'den taşınmaya karar vermiş.",B: Duymaz olur muyum! Amerika'yı ve Avrupa'yı düşünmüş ama Amerika'dan vazgeçmiş. Sağlık hizmetleri pahalı diye.,A: Ceyda bir Avrupa ülkesine taşınmak istiyor yani.,Ceyda'nın taşınmaya karar verdiği belli bir Avrupa ülkesi var.,Evet,Hayır,0
